id	path	line	end	name	signature	kind	va	body_sha256	status	casts	unions	gotos	address	owner	outside	varargs	reuse	stack	bounds	note
include/Ints.h:H2EnumStorage::H2EnumStorage(Enum value)#1	include/Ints.h	78	78	H2EnumStorage::H2EnumStorage	(Enum value)	cpp		e7f9f74461560430dc16c1d638bd48b147691630a6cb718f78602f4af31cce2f	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Enum-to-storage narrowing is the explicit fixed-width representation boundary. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::H2EnumStorage(Storage value)#1	include/Ints.h	79	79	H2EnumStorage::H2EnumStorage	(Storage value)	cpp		e90c29ce3f07693c1ce4f020128615cf68582b9774df84daeb817c75b3d5f59a	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Storage constructor directly initializes the sole scalar member. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::H2EnumStorage(H2EnumStorage<Enum,OtherStorage> value)#1	include/Ints.h	82	83	H2EnumStorage::H2EnumStorage	(H2EnumStorage<Enum,OtherStorage> value)	cpp		6284f65a96663609eff134e9da81e3ed81c94a7eaa8f887f89fb14be7ad06034	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Cross-width conversion goes through the semantic Enum then destination Storage. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator Enum() const#1	include/Ints.h	85	85	H2EnumStorage::operator Enum	() const	cpp		82bc47c7c7eb6286cc989314b2f33d17ada08a491cafa4f29ee2bca7b0dc0742	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Converts the stored representation back to its semantic Enum. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator Integer() const#1	include/Ints.h	89	91	H2EnumStorage::operator Integer	() const	cpp		ed81f9c57116e8c30c96c538be5339f876b199c8606dedb1a74060662892cdf2	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Explicit integral conversion goes through Enum, preserving signed underlying-domain behavior. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::value() const#1	include/Ints.h	93	93	H2EnumStorage::value	() const	cpp		bb99d4f3721fab81b81b13abd5d5c70d6e6d5f576bb5dd28397cfec9eb156763	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Returns the sole raw storage member; no reinterpretation. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator =(Enum value)#1	include/Ints.h	95	98	H2EnumStorage::operator =	(Enum value)	cpp		70b4f690f6723e6d4f0bfdc79ca0b4fdf12023bab7f7841b6df3c32620c72160	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Assignment narrows Enum to Storage then returns this live wrapper. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator =(Storage value)#1	include/Ints.h	100	103	H2EnumStorage::operator =	(Storage value)	cpp		91b8d4a9180f455acde7118fc3617fb1c458502461d03d735e45d85337e87289	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Direct storage assignment returns this live wrapper. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator =(H2EnumStorage<Enum,OtherStorage> value)#1	include/Ints.h	106	109	H2EnumStorage::operator =	(H2EnumStorage<Enum,OtherStorage> value)	cpp		1103eb429337e9f9c839f5b97f42144eba2af89b6de870307cea0045d75c0473	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Cross-width assignment preserves the semantic Enum conversion boundary. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator |=(Enum value)#1	include/Ints.h	111	114	H2EnumStorage::operator |=	(Enum value)	cpp		9d0476c133f0e259a529f1131226da66bda4053c5fc88eba560d28354ce4cf70	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Flag OR explicitly converts enum operand and promoted result to Storage. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator &=(Enum value)#1	include/Ints.h	116	119	H2EnumStorage::operator &=	(Enum value)	cpp		d7ca02ee68ecde0ff0aea81b455878fbb5895a6577faf98c2b8772ff8acaea76	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Flag AND explicitly converts enum operand and promoted result to Storage. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator &=(Integer mask)#1	include/Ints.h	126	129	H2EnumStorage::operator &=	(Integer mask)	cpp		fe1ae6b84c57526ef7856c838af79c25cb4e0301310ad5c15d2edf69429c315e	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Integer-mask AND intentionally accepts raw representation masks outside Enum. Strict-build support, not a retail function body.
include/Ints.h:H2EnumStorage::operator ^=(Enum value)#1	include/Ints.h	131	134	H2EnumStorage::operator ^=	(Enum value)	cpp		e2071931a8353dc75eb0a10645a131dd7c7d996138d70a43151bdbce284f5006	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Flag XOR explicitly converts enum operand and promoted result to Storage. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::H2OpenCodeStorage()#1	include/Ints.h	146	146	H2OpenCodeStorage::H2OpenCodeStorage	()	cpp-default-or-delete		132697754ce3e93a62e94c60f6846abe05bfc510a8c0ded03e97776cfe0a5ff6	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Defaulted open-code scalar wrapper; no aggregate or manufactured initialization. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::H2OpenCodeStorage(Code value)#1	include/Ints.h	147	148	H2OpenCodeStorage::H2OpenCodeStorage	(Code value)	cpp		f447339805cdbce0db076b270246cfd3e77a5aeb1e3230966be9e08b6cf87df8	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Open Code passes through i32 before fixed-width Storage, preserving unnamed protocol codes. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::H2OpenCodeStorage(Storage value)#1	include/Ints.h	149	149	H2OpenCodeStorage::H2OpenCodeStorage	(Storage value)	cpp		c1a60ca2e383c968dcb3fe5342ca72615d42f0ccd52a4afd36e6fe51f655a0e1	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Storage constructor initializes the sole open-code representation member. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::H2OpenCodeStorage(H2OpenCodeStorage<Code,OtherStorage> value)#1	include/Ints.h	152	153	H2OpenCodeStorage::H2OpenCodeStorage	(H2OpenCodeStorage<Code,OtherStorage> value)	cpp		c96edb3e45ddf1d139095ebb43af3303d37a63ba1421e3716f41dba637f09804	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Cross-width open-code construction copies the raw value, not a closed enum. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::operator Code() const#1	include/Ints.h	155	155	H2OpenCodeStorage::operator Code	() const	cpp		4516e481dd3d0a6c74cec2df1ee1f76b37ea05d62ba05cb74546ac7040446133	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Builds Code from promoted stored i32; no pointer or alternate object view. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::operator i32() const#1	include/Ints.h	156	156	H2OpenCodeStorage::operator i32	() const	cpp		095abf282cb530d9a7ba220a2aa9862afca149399a93f2c06306772f91bbd4aa	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Returns numeric open code via explicit promotion to i32. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::value() const#1	include/Ints.h	157	157	H2OpenCodeStorage::value	() const	cpp		bb99d4f3721fab81b81b13abd5d5c70d6e6d5f576bb5dd28397cfec9eb156763	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Returns the raw open-code storage member. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::operator =(Code value)#1	include/Ints.h	159	162	H2OpenCodeStorage::operator =	(Code value)	cpp		f9edab9da8e612250fa620499103f431c4e7175aa6a03591699d63cf899ceef6	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Code assignment crosses i32 then Storage; returns the same live wrapper. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::operator =(Storage value)#1	include/Ints.h	164	167	H2OpenCodeStorage::operator =	(Storage value)	cpp		91627f41857ad4ae4113427970bf46accb9ef4d09a78cfacb60814dc91171ae8	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Direct raw code assignment; no unrelated reuse. Strict-build support, not a retail function body.
include/Ints.h:H2OpenCodeStorage::operator =(H2OpenCodeStorage<Code,OtherStorage> value)#1	include/Ints.h	170	173	H2OpenCodeStorage::operator =	(H2OpenCodeStorage<Code,OtherStorage> value)	cpp		2b8adec6e9d801b228423763f91be52f02d5af7e4f9eb179a47bfa84c3a66322	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Cross-width assignment copies raw code representation via value(). Strict-build support, not a retail function body.
include/Ints.h:operator ==(H2OpenCodeStorage<Code,Storage> lhs,Code rhs)#1	include/Ints.h	180	182	operator ==	(H2OpenCodeStorage<Code,Storage> lhs,Code rhs)	cpp		8a31850921e9ccabf87690e08dd196edeaf00d0209729efcd19a93cf84d5b879	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Equality compares Code and stored Code in common i32 representation. Strict-build support, not a retail function body.
include/Ints.h:operator ==(Code lhs,H2OpenCodeStorage<Code,Storage> rhs)#1	include/Ints.h	185	187	operator ==	(Code lhs,H2OpenCodeStorage<Code,Storage> rhs)	cpp		b5f19af3a03bf4c66eb05eb953717a81e6f6b7537c88eb17226c5eccc31546aa	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Reversed Code equality delegates to the canonical equality overload. Strict-build support, not a retail function body.
include/Ints.h:operator !=(H2OpenCodeStorage<Code,Storage> lhs,Code rhs)#1	include/Ints.h	190	192	operator !=	(H2OpenCodeStorage<Code,Storage> lhs,Code rhs)	cpp		9c65c5da99087ec59a2927f5ea2245a3be2cc0339ed2e49526ed29f680fc8e34	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Inequality negates canonical Code equality; no duplicated representation. Strict-build support, not a retail function body.
include/Ints.h:operator !=(Code lhs,H2OpenCodeStorage<Code,Storage> rhs)#1	include/Ints.h	195	197	operator !=	(Code lhs,H2OpenCodeStorage<Code,Storage> rhs)	cpp		735044d9e28384879b7466961fbc011d79ea7cfef436658dc6c62a1a05468829	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Reversed inequality negates the corresponding equality overload. Strict-build support, not a retail function body.
include/Ints.h:operator ==(H2OpenCodeStorage<Code,LeftStorage> lhs,H2OpenCodeStorage<Code,RightStorage> rhs)#1	include/Ints.h	200	204	operator ==	(H2OpenCodeStorage<Code,LeftStorage> lhs,H2OpenCodeStorage<Code,RightStorage> rhs)	cpp		d18dd26ea04a7a947ba7d743fc8fea12952ccf56a31f7b98267e64765c3e2c20	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Cross-width equality compares both open-code values as i32. Strict-build support, not a retail function body.
include/Ints.h:operator !=(H2OpenCodeStorage<Code,LeftStorage> lhs,H2OpenCodeStorage<Code,RightStorage> rhs)#1	include/Ints.h	207	211	operator !=	(H2OpenCodeStorage<Code,LeftStorage> lhs,H2OpenCodeStorage<Code,RightStorage> rhs)	cpp		3e44b70204a7286a1faee3bb27cf0c6a4bf1948f661116eefb8286d077e8c499	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Cross-width inequality negates equality. Strict-build support, not a retail function body.
include/Ints.h:operator ==(H2EnumStorage<Enum,Storage> lhs,Enum rhs)#1	include/Ints.h	214	216	operator ==	(H2EnumStorage<Enum,Storage> lhs,Enum rhs)	cpp		ff57a30213e0afd2357028356af8b4cd187086ad34064803db83f44ffdae0991	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Equality converts stored value to its semantic Enum. Strict-build support, not a retail function body.
include/Ints.h:operator ==(Enum lhs,H2EnumStorage<Enum,Storage> rhs)#1	include/Ints.h	219	221	operator ==	(Enum lhs,H2EnumStorage<Enum,Storage> rhs)	cpp		8c06a9d1b658d7cbce7cfdbf342d748e252b3ce9a754086e2626a51d249c8c38	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Reversed equality converts stored rhs to its semantic Enum. Strict-build support, not a retail function body.
include/Ints.h:operator !=(H2EnumStorage<Enum,Storage> lhs,Enum rhs)#1	include/Ints.h	224	226	operator !=	(H2EnumStorage<Enum,Storage> lhs,Enum rhs)	cpp		c0c2d8b7b49b6014bb485668022d7b60596f550a9275031b6d9b0763a036bdcf	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Enum inequality negates canonical equality. Strict-build support, not a retail function body.
include/Ints.h:operator !=(Enum lhs,H2EnumStorage<Enum,Storage> rhs)#1	include/Ints.h	229	231	operator !=	(Enum lhs,H2EnumStorage<Enum,Storage> rhs)	cpp		cb3f69d01c0605b718c3ee96ff5848c39ec4e331a4076db2d11a13ff48a60770	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Reversed enum inequality negates canonical equality. Strict-build support, not a retail function body.
include/Ints.h:operator ==(H2EnumStorage<Enum,LeftStorage> lhs,H2EnumStorage<Enum,RightStorage> rhs)#1	include/Ints.h	234	238	operator ==	(H2EnumStorage<Enum,LeftStorage> lhs,H2EnumStorage<Enum,RightStorage> rhs)	cpp		8fa5975b1a15d43af9b1fefca4e1a16d7db82957ad5b3e37b4c9bd8eb8ac3efa	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Cross-width enum equality compares both in the same semantic Enum. Strict-build support, not a retail function body.
include/Ints.h:operator !=(H2EnumStorage<Enum,LeftStorage> lhs,H2EnumStorage<Enum,RightStorage> rhs)#1	include/Ints.h	241	245	operator !=	(H2EnumStorage<Enum,LeftStorage> lhs,H2EnumStorage<Enum,RightStorage> rhs)	cpp		87ac9cb03a920d62d22fb5ec53301ab3437f45fa45bc7855c525a2e27a77d1b6	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Cross-width enum inequality negates equality. Strict-build support, not a retail function body.
include/Ints.h:operator <(H2EnumStorage<Enum,Storage> lhs,Enum rhs)#1	include/Ints.h	248	250	operator <	(H2EnumStorage<Enum,Storage> lhs,Enum rhs)	cpp		5326e20669f172d967bb481ba147f8d1d54de6a7e7043fdef6be44a94c3679b6	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Relational comparison converts storage to Enum. Strict-build support, not a retail function body.
include/Ints.h:operator >=(H2EnumStorage<Enum,Storage> lhs,Enum rhs)#1	include/Ints.h	253	255	operator >=	(H2EnumStorage<Enum,Storage> lhs,Enum rhs)	cpp		c8b3a77d6f2582db243d34320765371939bcd22ff92ab753c9e1dcba99553ec4	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Greater-equal comparison converts storage to Enum. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::H2SteppedEnumStorage()#1	include/Ints.h	260	260	H2SteppedEnumStorage::H2SteppedEnumStorage	()	cpp-default-or-delete		d1f7165b1114a01d7f0f54655a020123df348d5173d3be77fbd86ad11294aad4	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Defaulted stepped scalar wrapper; no artificial aggregate. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::H2SteppedEnumStorage(Enum value)#1	include/Ints.h	261	261	H2SteppedEnumStorage::H2SteppedEnumStorage	(Enum value)	cpp		e9964d6c7ab8e6e69489fd793a527086e3d2b0e1ef45c703863b93e9c7ec4a7d	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Stepped enum construction narrows to fixed-width storage. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator Enum() const#1	include/Ints.h	263	263	H2SteppedEnumStorage::operator Enum	() const	cpp		82bc47c7c7eb6286cc989314b2f33d17ada08a491cafa4f29ee2bca7b0dc0742	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Returns stored stepped value as Enum. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator Integer() const#1	include/Ints.h	267	269	H2SteppedEnumStorage::operator Integer	() const	cpp		ed81f9c57116e8c30c96c538be5339f876b199c8606dedb1a74060662892cdf2	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Integral conversion goes through Enum, preserving its signed-domain interpretation. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator =(Enum value)#1	include/Ints.h	271	274	H2SteppedEnumStorage::operator =	(Enum value)	cpp		12c680cd74cdbbe0652608a80616f8ffcd544ee2f662aca5cc8d21e56b2ff5ca	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Stepped Enum assignment narrows to the scalar representation and returns self. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator =(Storage value)#1	include/Ints.h	276	279	H2SteppedEnumStorage::operator =	(Storage value)	cpp		da43bafdf9a6ba7b4481022fe4d5b39994febe094380f9f07af13cdc5587fd84	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Raw storage assignment keeps the stepped wrapper identity. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator ++()#1	include/Ints.h	281	284	H2SteppedEnumStorage::operator ++	()	cpp		af25c2c683ffc5deb9ff487350378a645d3180f1cbfb97ce940a1aabf8b282eb	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Prefix increment updates the same sequence value and returns self. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator ++(i32)#1	include/Ints.h	286	290	H2SteppedEnumStorage::operator ++	(i32)	cpp		af1ffbda7225a1b70974464eb0ac180c81fc0235cfd4c12c92ae52a53237d555	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	retain	absent	Postfix increment saves the one-field previous wrapper for the required old-value result; not artificial stack packing. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator --()#1	include/Ints.h	292	295	H2SteppedEnumStorage::operator --	()	cpp		e6b884b173277d291cca87b68847965bff2e4e4cff9fc7b25d6556beeaf9d97b	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Prefix decrement updates the same sequence value and returns self. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator --(i32)#1	include/Ints.h	297	301	H2SteppedEnumStorage::operator --	(i32)	cpp		7add92227d37c4447f7654eba85a91da9929f96a264b5efbbcab2b2f7b890b16	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	retain	absent	Postfix decrement saves the one-field previous wrapper for the required old-value result; not artificial stack packing. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator +=(i32 amount)#1	include/Ints.h	303	306	H2SteppedEnumStorage::operator +=	(i32 amount)	cpp		fa5f0792256d105047e39b6a000d2049d3ec29d7deccaa5e997d42bb5fba667e	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Offset addition promotes then explicitly narrows to Storage. Strict-build support, not a retail function body.
include/Ints.h:H2SteppedEnumStorage::operator -=(i32 amount)#1	include/Ints.h	308	311	H2SteppedEnumStorage::operator -=	(i32 amount)	cpp		5a6bb7217edc74e24f9657223e594e9b0e19722805be5c9600fa105e3424ee6f	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Offset subtraction promotes then explicitly narrows to Storage. Strict-build support, not a retail function body.
include/Ints.h:H2EnumIndex(H2EnumStorage<Enum,Storage> value)#1	include/Ints.h	318	320	H2EnumIndex	(H2EnumStorage<Enum,Storage> value)	cpp		2084188a61a4300d7501b7f58a7276502ad82f70f846b9868222f6b249ad58ef	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Index conversion unwraps the semantic Enum before converting to i32. Strict-build support, not a retail function body.
include/Ints.h:H2EnumIndex(H2SteppedEnumStorage<Enum,Storage> value)#1	include/Ints.h	323	325	H2EnumIndex	(H2SteppedEnumStorage<Enum,Storage> value)	cpp		7e64057fca0c93993d940a1be10eed0cbb4133aad0fa88a79df45661cacc92a2	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Stepped index conversion unwraps Enum before converting to i32. Strict-build support, not a retail function body.
include/Ints.h:H2EnumIndex(Value value)#1	include/Ints.h	328	330	H2EnumIndex	(Value value)	cpp		273b7bddf11225b6077bfec03a7d2b4f14906c0ae155063a04f809fa37fe4484	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	absent	Generic index conversion is the explicit value-to-index boundary. Strict-build support, not a retail function body.
